Sim	Run	T	mPop	cPop	TE	PFT	monoculture	invader	AllocSeed	LMR	m0	MaxMass	mSeed	Dist	pEstab	Gmax	SLA	palat	memo	RAR	growth	mThres	clonal	propSex	meanSpacerLength	sdSpacerLength	Resshare	AllocSpacer	mSpacer
1	0	100	0	0	8	23	NA	NA	0.05	1	0.1	1000	0.1	0.6	0.5	40	0.75	0.5	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	1	24	NA	NA	0.05	1	0.1	1000	0.1	0.6	0.5	40	0.5	0.25	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	5	25	NA	NA	0.05	1	0.1	1000	0.1	0.6	0.5	20	1	1	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	2	26	NA	NA	0.05	1	0.1	1000	0.1	0.6	0.5	20	0.75	0.5	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	1	27	NA	NA	0.05	1	0.1	1000	0.1	0.6	0.5	20	0.5	0.25	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	13	28	NA	NA	0.05	0.75	1	5000	1	0.1	0.5	60	1	1	2	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	3	29	NA	NA	0.05	0.75	1	5000	1	0.1	0.5	60	0.75	0.5	2	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	1	3	NA	NA	0.05	1	1	5000	1	0.1	0.5	60	0.5	0.25	2	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	11	30	NA	NA	0.05	0.75	1	5000	1	0.1	0.5	60	0.5	0.25	2	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	22	31	NA	NA	0.05	0.75	1	5000	1	0.1	0.5	40	1	1	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	2	32	NA	NA	0.05	0.75	1	5000	1	0.1	0.5	40	0.75	0.5	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	6	33	NA	NA	0.05	0.75	1	5000	1	0.1	0.5	40	0.5	0.25	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	13	34	NA	NA	0.05	0.75	1	5000	1	0.1	0.5	20	1	1	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	1	35	NA	NA	0.05	0.75	1	5000	1	0.1	0.5	20	0.75	0.5	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	2	36	NA	NA	0.05	0.75	1	5000	1	0.1	0.5	20	0.5	0.25	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	1	37	NA	NA	0.05	0.75	0.3	2000	0.3	0.3	0.5	60	1	1	2	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	1	38	NA	NA	0.05	0.75	0.3	2000	0.3	0.3	0.5	60	0.75	0.5	2	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	1	39	NA	NA	0.05	0.75	0.3	2000	0.3	0.3	0.5	60	0.5	0.25	2	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	21	4	NA	NA	0.05	1	1	5000	1	0.1	0.5	40	1	1	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	6	40	NA	NA	0.05	0.75	0.3	2000	0.3	0.3	0.5	40	1	1	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	37	41	NA	NA	0.05	0.75	0.3	2000	0.3	0.3	0.5	40	0.75	0.5	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	14.1	13	0	42	NA	NA	0.05	0.75	0.3	2000	0.3	0.3	0.5	40	0.5	0.25	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	1	43	NA	NA	0.05	0.75	0.3	2000	0.3	0.3	0.5	20	1	1	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	18	44	NA	NA	0.05	0.75	0.3	2000	0.3	0.3	0.5	20	0.75	0.5	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	19	16	0	45	NA	NA	0.05	0.75	0.3	2000	0.3	0.3	0.5	20	0.5	0.25	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	2	46	NA	NA	0.05	0.75	0.1	1000	0.1	0.6	0.5	60	1	1	2	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	1	47	NA	NA	0.05	0.75	0.1	1000	0.1	0.6	0.5	60	0.75	0.5	2	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	1	48	NA	NA	0.05	0.75	0.1	1000	0.1	0.6	0.5	60	0.5	0.25	2	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	11.2	21	0	49	NA	NA	0.05	0.75	0.1	1000	0.1	0.6	0.5	40	1	1	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	29	5	NA	NA	0.05	1	1	5000	1	0.1	0.5	40	0.75	0.5	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	5	50	NA	NA	0.05	0.75	0.1	1000	0.1	0.6	0.5	40	0.75	0.5	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	2	51	NA	NA	0.05	0.75	0.1	1000	0.1	0.6	0.5	40	0.5	0.25	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	1	52	NA	NA	0.05	0.75	0.1	1000	0.1	0.6	0.5	20	1	1	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	30.9	25	0	53	NA	NA	0.05	0.75	0.1	1000	0.1	0.6	0.5	20	0.75	0.5	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	7	54	NA	NA	0.05	0.75	0.1	1000	0.1	0.6	0.5	20	0.5	0.25	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	1	55	NA	NA	0.05	0.5	1	5000	1	0.1	0.5	60	1	1	2	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	3	56	NA	NA	0.05	0.5	1	5000	1	0.1	0.5	60	0.75	0.5	2	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	1	57	NA	NA	0.05	0.5	1	5000	1	0.1	0.5	60	0.5	0.25	2	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	10	58	NA	NA	0.05	0.5	1	5000	1	0.1	0.5	40	1	1	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	33	59	NA	NA	0.05	0.5	1	5000	1	0.1	0.5	40	0.75	0.5	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	1	6	NA	NA	0.05	1	1	5000	1	0.1	0.5	40	0.5	0.25	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	9	60	NA	NA	0.05	0.5	1	5000	1	0.1	0.5	40	0.5	0.25	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	15	61	NA	NA	0.05	0.5	1	5000	1	0.1	0.5	20	1	1	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	2	62	NA	NA	0.05	0.5	1	5000	1	0.1	0.5	20	0.75	0.5	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	28	63	NA	NA	0.05	0.5	1	5000	1	0.1	0.5	20	0.5	0.25	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	1	64	NA	NA	0.05	0.5	0.3	2000	0.3	0.3	0.5	60	1	1	2	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	1	65	NA	NA	0.05	0.5	0.3	2000	0.3	0.3	0.5	60	0.75	0.5	2	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	1	66	NA	NA	0.05	0.5	0.3	2000	0.3	0.3	0.5	60	0.5	0.25	2	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	13	67	NA	NA	0.05	0.5	0.3	2000	0.3	0.3	0.5	40	1	1	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	28	68	NA	NA	0.05	0.5	0.3	2000	0.3	0.3	0.5	40	0.75	0.5	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	2	69	NA	NA	0.05	0.5	0.3	2000	0.3	0.3	0.5	40	0.5	0.25	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	6	7	NA	NA	0.05	1	1	5000	1	0.1	0.5	20	1	1	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	45	70	NA	NA	0.05	0.5	0.3	2000	0.3	0.3	0.5	20	1	1	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	9	71	NA	NA	0.05	0.5	0.3	2000	0.3	0.3	0.5	20	0.75	0.5	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	3	72	NA	NA	0.05	0.5	0.3	2000	0.3	0.3	0.5	20	0.5	0.25	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	1	73	NA	NA	0.05	0.5	0.1	1000	0.1	0.6	0.5	60	1	1	2	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	1	74	NA	NA	0.05	0.5	0.1	1000	0.1	0.6	0.5	60	0.75	0.5	2	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	1	75	NA	NA	0.05	0.5	0.1	1000	0.1	0.6	0.5	60	0.5	0.25	2	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	51	76	NA	NA	0.05	0.5	0.1	1000	0.1	0.6	0.5	40	1	1	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	36	77	NA	NA	0.05	0.5	0.1	1000	0.1	0.6	0.5	40	0.75	0.5	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	2	78	NA	NA	0.05	0.5	0.1	1000	0.1	0.6	0.5	40	0.5	0.25	4	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	4	79	NA	NA	0.05	0.5	0.1	1000	0.1	0.6	0.5	20	1	1	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	5	8	NA	NA	0.05	1	1	5000	1	0.1	0.5	20	0.75	0.5	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	19.1	23	0	80	NA	NA	0.05	0.5	0.1	1000	0.1	0.6	0.5	20	0.75	0.5	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	1	81	NA	NA	0.05	0.5	0.1	1000	0.1	0.6	0.5	20	0.5	0.25	6	1	0.25	0.2	0	0	0	0	0	0	0
1	0	100	0	0	10	9	NA	NA	0.05	1	1	5000	1	0.1	0.5	20	0.5	0.25	6	1	0.25	0.2	0	0	0	0	0	0	0
